Car ID,Car,Body Type,Engine Type,Price ($),Year of Manufacture,Transmission Type,Resale Value ($),Fuel Economy (km/l),Performance Rating,User Rating,Safety Rating,Comfort Level,Maintenance Cost ($/yr),Warranty Period (years),Seating Capacity,Battery Capacity (kWh),Drive Type
1,Mercedes C-Class,Sedan,Petrol,164759.81,2022,Automatic,146327.23,10.8,9,5,9,9,6778.7,2,5,,RWD
2,Hyundai Kona,Sedan,Petrol,35700.73,2022,Manual,24067.08,18.5,6,8,8,7,2650.22,2,4,,FWD
3,Chevrolet Corvette,Sedan,Diesel,77119.21,2013,Automatic,56006.11,11.1,10,10,8,5,2546.06,3,2,,AWD
4,Porsche 911,SUV,Hybrid,177262.11,2024,Automatic,132843.4,9.4,8,8,10,10,6876.48,1,4,,AWD
5,Jaguar F-Pace,SUV,Petrol,185014.63,2024,Automatic,150085.1,8.8,10,5,9,9,6007.27,3,5,,AWD
6,Chevrolet Camaro,Convertible,Diesel,81984.28,2016,Automatic,55428.76,10.1,10,9,6,5,3191.86,5,4,,AWD
7,BMW 7 Series,Coupe,Diesel,171645.42,2021,Automatic,120240.24,9,8,9,10,8,6605.04,2,4,,AWD
8,Mercedes S-Class,SUV,Diesel,177515.55,2016,Automatic,129073.58,11.8,9,9,10,10,4020.6,1,4,,AWD
9,Kia Niro EV,Hatchback,Hybrid,51193.95,2015,Automatic,37188.83,25.5,6,7,8,8,813.21,3,5,,FWD
10,Hyundai Ioniq,Hatchback,Electric,53745.96,2021,Automatic,42282.92,25.2,6,10,7,7,1424.08,2,5,68,FWD
11,Porsche Boxster,Coupe,Petrol,70936.84,2019,Manual,48432.3,11.9,10,9,6,6,2668.44,1,4,,RWD
12,Suzuki Swift,Sedan,Diesel,19107.43,2018,Automatic,8582.79,22.9,4,9,5,5,641.76,2,5,,FWD
13,Ford Mustang Mach-E,Sedan,Electric,48683.98,2024,Automatic,31295.21,29,8,10,7,6,1032.85,3,5,69.3,FWD
14,Hyundai Ioniq,Hatchback,Hybrid,50240.57,2023,Automatic,34061.41,26.5,7,5,7,6,1029.19,5,5,,FWD
15,Toyota Camry,Sedan,Diesel,28904.84,2018,Manual,14364.08,22.1,5,9,6,6,748.34,1,5,,FWD
16,Chevrolet Malibu,SUV,Petrol,33838.31,2020,Automatic,25039.34,20.2,8,9,7,5,1875.14,3,7,,AWD
17,Tata Harrier,Sedan,Hybrid,46081.85,2023,Manual,30714.22,21,7,8,6,5,2449.78,2,4,,FWD
18,Porsche 911,SUV,Petrol,159609.51,2010,Automatic,122371.99,11.2,8,7,9,9,6287.01,2,4,,AWD
19,Ford Fusion,Wagon,Diesel,23235.39,2023,Automatic,13103.91,28.8,6,6,4,4,1301.17,1,5,,FWD
20,Hyundai Tucson,Minivan,Hybrid,48370.72,2020,Automatic,30495.9,17.7,7,5,10,9,1469.13,4,5,,FWD
21,Mercedes S-Class,Sedan,Petrol,193648.32,2011,Automatic,144644.65,9.2,9,6,10,8,5632,4,4,,AWD
22,Honda Civic,Sedan,Petrol,18340.31,2012,Manual,7878.42,22.1,4,10,4,5,520.35,5,5,,FWD
23,Chevrolet Corvette,Coupe,Petrol,96258.95,2015,Manual,67986.93,12,10,8,8,6,3790.4,4,4,,AWD
24,Kia Forte,Sedan,Petrol,27621.1,2019,Automatic,13690.13,28.2,5,10,5,4,820.71,1,5,,FWD
25,BMW 7 Series,SUV,Hybrid,114797.92,2022,Automatic,84570.47,10.1,9,6,9,9,5072.18,5,4,,RWD
26,BMW i3,Sedan,Hybrid,53762.77,2020,Automatic,36923.94,27.9,7,9,8,8,1372.18,5,4,,FWD
27,Hyundai Ioniq,Sedan,Electric,44118.92,2024,Automatic,35290.22,27.9,6,8,8,7,1233.57,2,4,58.6,FWD
28,Nissan GT-R,Convertible,Diesel,91216.98,2023,Manual,67279.55,12.2,10,10,7,6,5033.51,1,2,,RWD
29,Hyundai Tucson,Wagon,Hybrid,40358.85,2019,Automatic,26674.29,23.7,6,6,9,10,2072.82,1,7,,FWD
30,Nissan Altima,Sedan,Diesel,26504.04,2010,Manual,10832.96,23.2,5,9,5,5,1008.41,2,5,,FWD
31,Dodge Challenger,Convertible,Diesel,87743.59,2023,Automatic,55850.59,9.2,10,6,6,7,3979.29,3,2,,RWD
32,Volkswagen Passat,SUV,Diesel,55894,2024,Automatic,36011.61,20.4,6,6,6,5,2434.71,2,7,,AWD
33,Hyundai Elantra,Hatchback,Petrol,15146.6,2010,Manual,8732.03,28.4,4,7,5,6,548.49,4,5,,FWD
34,Mazda CX-5,SUV,Diesel,37004.68,2019,Automatic,28291.24,24.2,8,9,9,10,1054.44,2,7,,FWD
35,Jaguar XF,SUV,Diesel,141237.83,2023,Automatic,105007.38,8.5,9,6,10,9,5840.97,4,5,,AWD
36,Nissan Sentra,Sedan,Diesel,25971.9,2023,Manual,11291.22,20.7,6,7,4,5,1398.06,5,5,,FWD
37,Nissan Rogue,Wagon,Petrol,40679.76,2016,Automatic,31599.38,15.6,8,5,8,8,1746.75,5,5,,AWD
38,Volkswagen Tiguan,Wagon,Diesel,35198.95,2017,Automatic,26547.45,18,6,7,10,9,1469.31,1,7,,FWD
39,Porsche Cayenne,SUV,Petrol,174047.29,2016,Automatic,144006,8.1,8,9,10,9,4306.32,5,4,,AWD
40,Toyota Prius,SUV,Electric,57952.13,2016,Automatic,40726.75,26.1,8,5,7,6,1073.95,3,4,29.9,AWD
41,Maserati Ghibli,Convertible,Hybrid,150169.95,2018,Automatic,125065.02,11,8,9,10,10,4249.15,1,4,,AWD
42,Volkswagen Tiguan,Minivan,Hybrid,27594.84,2013,Automatic,18995.54,16.6,7,7,9,8,1593.51,2,5,,AWD
43,Chevrolet Malibu,Sedan,Hybrid,46661.58,2022,Manual,35149.46,20.9,7,5,6,7,1784.78,4,7,,FWD
44,Honda Civic,Sedan,Diesel,24027.32,2016,Automatic,12694,24.8,5,8,4,6,1084.19,1,5,,FWD
45,Audi Q7,Convertible,Diesel,185258.25,2018,Automatic,134882.54,9.8,8,9,10,9,5788.94,3,5,,AWD
46,Toyota Corolla,Wagon,Diesel,26113.15,2012,Automatic,12958.57,25.5,4,6,6,6,771.4,4,5,,FWD
47,Kia Optima,Hatchback,Diesel,51397.86,2022,Manual,37754.84,18.1,8,9,8,6,2505.18,2,7,,FWD
48,Dodge Durango,SUV,Hybrid,42826.67,2022,Manual,29592.33,21.1,6,7,6,6,2412.68,2,7,,FWD
49,Honda Civic,Hatchback,Petrol,15349.34,2020,Manual,9061.46,27.4,6,8,6,5,1296.18,2,5,,FWD
50,Mercedes C-Class,Sedan,Petrol,179407.86,2022,Automatic,152321.95,8,8,6,9,9,4788.13,3,5,,AWD
51,Dodge Charger,Convertible,Petrol,64592.96,2020,Manual,39937.36,12.2,9,6,8,7,5383.13,2,2,,AWD
52,Kia Niro EV,Sedan,Electric,31034.34,2019,Automatic,24025.85,29,8,5,8,7,759.34,5,5,87.7,AWD
53,Audi A4,Convertible,Petrol,144726.35,2024,Automatic,113102.28,10.3,8,8,9,10,5366.44,4,4,,RWD
54,Chevrolet Bolt,Sedan,Hybrid,56011,2022,Automatic,42153.74,28.5,8,5,8,6,1378.98,4,5,,AWD
55,Mercedes C-Class,Convertible,Diesel,127072.83,2024,Automatic,111501.59,11.8,10,5,10,9,6368.44,2,4,,RWD
56,Lexus LS,SUV,Petrol,186169.52,2024,Automatic,139605.34,11.1,8,10,9,10,4811.6,3,4,,RWD
57,Buick Enclave,Wagon,Diesel,32420.68,2023,Automatic,25928.15,23.6,8,10,8,6,1868.54,5,7,,FWD
58,Suzuki Baleno,Sedan,Diesel,24689.68,2016,Manual,14090.19,25.4,4,7,5,6,656.27,3,5,,FWD
59,Tata Harrier,Wagon,Petrol,46809.07,2023,Manual,35362.17,17.7,7,5,6,5,2928.85,5,5,,AWD
60,Hyundai Elantra,Wagon,Diesel,29318.09,2010,Automatic,13766.5,24.9,6,10,6,6,915.11,2,5,,FWD
61,Hyundai Ioniq,Hatchback,Hybrid,52492.45,2016,Automatic,40937.72,27.2,6,5,8,7,524.78,3,5,,AWD
62,Tesla Model S,Hatchback,Hybrid,43078.08,2014,Automatic,28636.79,29,8,7,8,6,1499.19,1,5,,AWD
63,Toyota Corolla,Hatchback,Petrol,16953.23,2013,Manual,8086.34,26,5,9,5,5,1247.51,1,5,,FWD
64,Hyundai Kona,SUV,Petrol,40743.19,2011,Manual,24701.37,21.3,6,6,8,5,1525.88,2,4,,FWD
65,Audi A4,Coupe,Hybrid,187992.61,2023,Automatic,165495.65,11.7,9,10,10,9,6169.34,2,5,,RWD
66,Toyota Highlander,Minivan,Diesel,48516,2013,Automatic,38267.21,18.5,8,8,9,10,2255.85,2,7,,FWD
67,Mercedes C-Class,Sedan,Diesel,159322.64,2012,Automatic,139687.16,8.2,9,7,10,9,5184.22,5,4,,RWD
68,Suzuki Swift,Sedan,Diesel,21534.52,2013,Automatic,9084.65,22.9,6,8,4,6,1218.6,2,5,,FWD
69,Porsche Boxster,Coupe,Petrol,71651.97,2024,Manual,47080.18,12.5,9,8,6,7,4218.96,2,2,,AWD
70,Hyundai Ioniq,Hatchback,Electric,32597.15,2013,Automatic,19571.37,28.9,8,6,6,6,1580.71,3,5,43.3,AWD
71,Nissan Leaf,Sedan,Hybrid,34260.41,2020,Automatic,24100.52,25.3,6,8,7,8,1905.36,3,5,,FWD
72,Audi A4,SUV,Petrol,155966.35,2024,Automatic,130284.89,9.5,9,9,9,10,6208,3,5,,AWD
73,Toyota Corolla,Sedan,Diesel,22937.07,2021,Automatic,13487.02,26.4,4,10,4,4,707.8,4,5,,FWD
74,Nissan Altima,Hatchback,Petrol,18020.03,2016,Automatic,9215.45,30,6,10,4,4,1010.12,5,5,,FWD
75,Ford Explorer,Wagon,Diesel,41951.54,2018,Automatic,28138.71,21.1,6,7,10,9,1851.68,1,7,,AWD
76,Jaguar F-Pace,SUV,Hybrid,173463.18,2012,Automatic,128702.44,8.1,10,9,9,8,5840.49,5,5,,RWD
77,Audi Q7,Convertible,Hybrid,174722.72,2011,Automatic,152022.14,8.8,9,6,10,10,6831.26,2,4,,AWD
78,Chevrolet Traverse,Wagon,Petrol,45605.99,2012,Automatic,35467.07,20.4,8,6,8,10,2449.64,4,5,,FWD
79,Chrysler Pacifica,SUV,Petrol,37742.88,2018,Manual,29934.88,19.3,6,7,8,5,1980.71,2,5,,FWD
80,Suzuki Swift,Hatchback,Diesel,18097.74,2010,Manual,7782.99,23.1,4,7,4,6,979.65,4,5,,FWD
81,Honda Clarity,Sedan,Hybrid,49860.98,2015,Automatic,31061.63,28.6,7,8,8,7,1175.12,2,4,,AWD
82,Tata Harrier,Hatchback,Petrol,48419.7,2024,Automatic,37628.87,20.4,8,9,7,5,1745.02,1,4,,AWD
83,Ford Mustang Mach-E,SUV,Hybrid,44141.09,2022,Automatic,32362.57,26.1,7,7,8,8,1823.46,4,5,,AWD
84,Honda CR-V,Wagon,Petrol,48418.22,2011,Automatic,29811.84,16.8,6,6,9,8,2272.38,4,7,,FWD
85,Tata Harrier,Wagon,Diesel,40130.64,2013,Automatic,29395.93,17.1,6,10,7,6,1532.57,1,4,,FWD
86,Audi Q7,Sedan,Petrol,178593.9,2022,Automatic,132265.55,10.7,8,9,10,8,4147.5,4,5,,AWD
87,Hyundai Ioniq,Sedan,Hybrid,51326.86,2021,Automatic,31185.58,26.1,6,7,7,7,1029.1,5,5,,AWD
88,Ford Mustang Mach-E,Hatchback,Hybrid,46042.52,2012,Automatic,34028.37,28.8,6,10,6,6,1778.05,1,4,,FWD
89,Porsche 911,Sedan,Hybrid,193797.9,2017,Automatic,161482.08,10.9,10,7,10,8,6560.87,2,4,,RWD
90,Toyota Highlander,Wagon,Hybrid,49797.49,2021,Automatic,31503.88,24.7,7,5,10,8,1075.38,3,5,,AWD
91,Maserati Ghibli,Sedan,Diesel,190050.26,2018,Automatic,151856.06,8.1,8,5,9,8,4562.26,1,5,,RWD
92,Porsche Boxster,Convertible,Diesel,73190.58,2014,Automatic,53937.08,8.8,10,10,6,7,4003.39,5,2,,RWD
93,Hyundai Kona,SUV,Diesel,57775.68,2023,Manual,38782.16,19.7,7,5,7,7,2893.72,2,7,,AWD
94,Porsche Boxster,Sedan,Petrol,72815.93,2016,Manual,44316.22,9.9,10,7,7,5,3730.36,3,2,,RWD
95,Subaru WRX,Sedan,Diesel,88087.15,2018,Automatic,65343.52,8,9,8,8,7,5353.23,2,4,,AWD
96,BMW 7 Series,Coupe,Petrol,156574.53,2022,Automatic,140685.1,11.3,10,5,10,8,5935.92,2,5,,RWD
97,Chevrolet Bolt,Hatchback,Hybrid,46570.63,2019,Automatic,37026.02,28.3,8,6,8,6,771,1,4,,FWD
98,Dodge Charger,Convertible,Diesel,95969.7,2020,Automatic,73944.87,11.6,10,9,7,7,3080.57,2,2,,RWD
