Price ($),Year of Manufacture,Resale Value ($),Fuel Economy (km/l),Performance Rating,User Rating,Safety Rating,Comfort Level,Maintenance Cost ($/yr),Warranty Period (years),Seating Capacity,Battery Capacity (kWh),Body Type_Convertible,Body Type_Coupe,Body Type_Hatchback,Body Type_Minivan,Body Type_SUV,Body Type_Sedan,Body Type_Wagon,Engine Type_Diesel,Engine Type_Electric,Engine Type_Hybrid,Engine Type_Petrol,Transmission Type_Automatic,Transmission Type_Manual,Drive Type_AWD,Drive Type_FWD,Drive Type_RWD,Car,Car_ID
0.809792747,0.857142857,0.809999934,0.127272727,0.833333333,0,0.833333333,0.833333333,0.968146541,0.25,0.6,0.474342929,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,Mercedes C-Class,1
0.111866257,0.857142857,0.103101572,0.477272727,0.333333333,0.6,0.666666667,0.5,0.331527631,0.25,0.4,0.474342929,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,Hyundai Kona,2
0.335849369,0.214285714,0.287770477,0.140909091,1,1,0.666666667,0.166666667,0.315465975,0.5,0,0.474342929,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,Chevrolet Corvette,3
0.877402763,1,0.732037513,0.063636364,0.666666667,0.6,1,1,0.98322439,0,0.4,0.474342929,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,Porsche 911,4
0.919326888,1,0.831727636,0.036363636,1,0,0.833333333,0.833333333,0.849190672,0.5,0.6,0.474342929,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,Jaguar F-Pace,5
0.362158725,0.428571429,0.284432285,0.095454545,1,0.8,0.333333333,0.166666667,0.415049476,1,0.4,0.474342929,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,Chevrolet Camaro,6
0.847028792,0.785714286,0.659167054,0.045454545,0.666666667,0.8,1,0.666666667,0.941367862,0.25,0.4,0.474342929,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,BMW 7 Series,7
0.878773317,0.428571429,0.710240716,0.172727273,0.833333333,0.8,1,1,0.542842648,0,0.4,0.474342929,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,Mercedes S-Class,8
0.195650588,0.357142857,0.178970476,0.795454545,0.333333333,0.4,0.666666667,0.666666667,0.048257443,0.5,0.6,0.474342929,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,Kia Niro EV,9
0.209451363,0.785714286,0.208424095,0.781818182,0.333333333,1,0.5,0.5,0.142454676,0.25,0.6,0.600750939,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,Hyundai Ioniq,10
0.302416311,0.642857143,0.243979316,0.177272727,1,0.8,0.333333333,0.333333333,0.334337187,0,0.4,0.474342929,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,Porsche Boxster,11
0.022132907,0.571428571,0.013572652,0.677272727,0,0.8,0.166666667,0.166666667,0.02181955,0.25,0.6,0.474342929,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,Suzuki Swift,12
0.182077157,1,0.144894039,0.954545455,0.666666667,1,0.5,0.333333333,0.082126319,0.5,0.6,0.617021277,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,Ford Mustang Mach-E,13
0.190494894,0.928571429,0.160887985,0.840909091,0.5,0,0.5,0.333333333,0.081561941,1,0.6,0.474342929,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,Hyundai Ioniq,14
0.075115401,0.571428571,0.046999606,0.640909091,0.166666667,0.8,0.333333333,0.333333333,0.038254374,0,0.6,0.474342929,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,Toyota Camry,15
0.101794651,0.714285714,0.108723101,0.554545455,0.666666667,0.8,0.5,0.166666667,0.212008925,0.5,1,0.474342929,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,Chevrolet Malibu,16
