Car ID,Car,Body Type,Engine Type,Price ($),Year of Manufacture,Transmission Type,Resale Value ($),Fuel Economy (km/l),Performance Rating,User Rating,Safety Rating,Comfort Level,Maintenance Cost ($/yr),Warranty Period (years),Seating Capacity,Battery Capacity (kWh),Drive Type
1,GMC Acadia,Hatchback,Petrol,49420.72,2016,Automatic,32869.75,17.5,8,9,7,7,2753.33,4,7,,AWD
2,Dodge Charger,Coupe,Petrol,61276.46,2021,Automatic,37278.66,14.5,10,8,6,5,3477.81,2,4,,AWD
3,Volkswagen Passat,Hatchback,Hybrid,32940.91,2011,Automatic,20887.04,16.3,6,7,8,7,1896.74,4,4,,FWD
4,Chevrolet Bolt,SUV,Electric,51372.12,2021,Automatic,35269.45,29.7,8,6,6,7,1141.76,4,4,87.1,FWD
5,Chevrolet Camaro,Coupe,Diesel,63195.67,2019,Automatic,41791.87,13.5,10,7,8,6,4437.66,4,2,,AWD
6,Kia Forte,Sedan,Diesel,23912.36,2013,Manual,9620.61,23.4,5,9,6,4,1144.12,2,5,,FWD
7,Subaru WRX,Coupe,Petrol,69039.42,2021,Manual,49889.88,13.5,10,5,6,7,2877.5,5,2,,RWD
8,Subaru Outback,Minivan,Hybrid,38002.77,2024,Automatic,29418.19,22.6,8,10,10,9,1590.25,1,5,,AWD
9,Porsche 911,Sedan,Hybrid,139061.14,2018,Automatic,107400.29,9.4,9,10,9,10,5745.17,3,5,,RWD
10,BMW i3,SUV,Hybrid,56356.02,2013,Automatic,40711.23,25.3,7,8,8,7,1706.18,1,5,,AWD
11,Dodge Durango,Wagon,Hybrid,47926.61,2022,Manual,36010.4,21.5,8,5,7,5,2528.59,3,5,,FWD
12,BMW i3,Sedan,Hybrid,50411.1,2024,Automatic,34997.01,29,6,8,8,7,1825.84,4,4,,FWD
13,Ford Mustang,Sedan,Diesel,68684.61,2021,Manual,43464.85,14,9,8,6,6,3098.81,5,2,,AWD
14,Mazda MX-5,Coupe,Diesel,85568.43,2018,Manual,54236.7,12.5,9,10,6,6,5070,5,2,,AWD
15,Nissan Altima,Wagon,Diesel,22773.17,2017,Manual,12535.81,26.3,5,9,5,4,1157.96,1,5,,FWD
16,Subaru WRX,Convertible,Petrol,85771.81,2021,Automatic,63075.85,8.8,9,6,6,7,4034.9,5,2,,RWD
17,BMW i3,SUV,Electric,38147.21,2015,Automatic,29732.14,27.6,7,6,7,7,606.47,3,4,23.3,AWD
18,Dodge Durango,Sedan,Petrol,54273.09,2016,Automatic,35959.72,17,7,9,7,5,2700,4,5,,FWD
19,Chevrolet Traverse,Wagon,Hybrid,25528.93,2016,Automatic,18165.51,24.5,8,6,9,8,1871.6,3,7,,FWD
20,Subaru WRX,Sedan,Diesel,61679.17,2020,Automatic,44801.1,8.9,9,9,8,5,4402.54,4,4,,AWD
